Description,Title,Location,Beds,Baths,Is_new,Is_furnished,Is_serviced,Toilets,Price
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Victory Park Estate Jakande Lekki Lagos,5,6,7,0,0,0,450000000
All Rooms Ensuite 4bed Semi Detached Duplex+ Bq,4 BEDROOM HOUSE FOR SALE,Igbo Efon Lekki Lagos,4,4,5,1,1,0,90000000
Luxury 2bed Apartment+ Pool & Gym In Lekki Phase 1,2 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,2,2,3,1,1,1,170000000
4bedroom Terrace Duplexes+ Bq!!!,4 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,4,5,5,0,0,0,160000000
Beautiful 4 Bed Semi Detached Duplex+ Bq & Balcony,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4,4,5,1,1,0,155000000
Exquisite 5bed Detached Duplex+ Lounge Pool And Bq,5 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,5,5,6,1,1,0,285000000
Beautiful Luxury Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4,4,5,1,0,1,65000000
All Rooms Ensuite 4bed Detached Duplex+ Bq & Balcony,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4,4,5,1,1,0,125000000
Most Affordale Waterfront Property In Lagos,LAND FOR SALE,Bogije Oribanwa Ibeju Lekki Lagos,,,,0,0,0,5000000
Own The Most Affordable Property In Epe Now,LAND FOR SALE,Near Otedola Housing Estate Epe Lagos,,,,0,0,1,1300000
Luxury Built 3bedroom Massionette + Bq!!!,3 BEDROOM HOUSE FOR SALE,Ogudu Gra Ogudu Lagos,3,4,4,1,1,1,100000000
5bedroom Terrace Duplexes + Bq...,4 BEDROOM HOUSE FOR SALE,Okupe Estate Mende Maryland Lagos,4,5,5,1,0,1,170000000
4bedroom Terrace Duplex + A Room Bq!!!,4 BEDROOM HOUSE FOR SALE,"Ikeja Gra, Ikeja Lagos",4,5,5,1,0,0,145000000
Furnished 8nos Of 3bedroom Flats!!!,3 BEDROOM HOUSE FOR SALE,Anthony Village Maryland Lagos,3,4,4,0,0,0,450000000
Luxury Mini Flat,1 BEDROOM FLAT / APARTMENT FOR SALE,Landmark Axis Oniru Victoria Island Lagos,1,1,2,1,1,1,90000000
Exquisite 5bed Detached Smart Home+ Bq & Lounge,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5,5,6,1,1,0,300000000
Magnificent 6bed Detached Duplex+ Bq Lounge & Pool,6 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,6,6,7,1,1,0,290000000
Beautifully Furnished 5bed Detached Duplex In Chevron,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5,5,6,1,1,0,180000000
Exotic 5bed Detached Duplex+gym Pool& Cinema,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5,5,6,1,1,0,350000000
Fully Serviced Ensuite Bedroom Apartments In Ikate,1 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,1,1,2,1,0,1,55000000
Exquisite 2 Bed Apartments With Elevator In Ikate,2 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,2,2,3,1,1,1,80000000
Exotic 4bed Semi Detached Duplex+ Bq & Balcony,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4,4,5,1,1,0,150000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5,5,6,0,0,0,1100000000
Vacant 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,"Off Queen's Drive, Old Ikoyi Ikoyi Lagos",4,4,5,0,0,0,725000000
New Built 2 & 3 Bedroom Apartment,FLAT / APARTMENT FOR SALE,Old Ikoyi Ikoyi Lagos,0,0,0,1,1,0,250000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Lekki County Estate, Ikota Lekki Lagos",5,5,6,0,0,0,270000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,4,4,5,1,0,1,380000000
Exquisite 3 Bedroom Apartments+ Lounge In Idado,3 BEDROOM HOUSE FOR SALE,Idado Lekki Lagos,3,3,4,1,1,1,150000000
"Ocean & Non Oceanview 1,2 & 3 Bedroom Apartments",FLAT / APARTMENT FOR SALE,"Bluewater Apartments, Lekki Lagos",,,,0,0,1,170000000
"Exotic 5bed Detached Duplex+ Pool,gym& Roof Terrace",5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5,5,6,1,1,0,280000000
